user_id,city,coarse_lat,coarse_lng,phone,category_opt_ins,preferred_channel,reliability_score,price_sensitivity_threshold_pct,response_latency_minutes_avg
USR-00001,Bengaluru,13.09,77.676,+917413571682,Bakery|Ready-to-Eat|Dairy|Snacks,WhatsApp,1.0,34,12
USR-00002,Mumbai,19.016,72.935,+919347873541,Snacks|Ready-to-Eat|Oil & Masala,WhatsApp,0.97,38,14
USR-00003,Mumbai,18.978,73.023,+916688592663,Dairy|Ready-to-Eat|Beverages|Snacks,reply-YES,0.76,27,16
USR-00004,Pune,18.623,73.977,+917014857816,Oil & Masala|Dairy|Beverages,SMS,0.76,53,18
USR-00005,Mumbai,19.133,72.783,+916244628826,Meat & Seafood,reply-YES,0.6,34,4
USR-00006,Pune,18.505,73.86,+919363149318,Food Grains,SMS,0.73,58,11
USR-00007,Pune,18.48,73.919,+917804503083,Bakery|Ready-to-Eat|Food Grains,WhatsApp,0.64,26,39
USR-00008,Chennai,13.174,80.248,+919386813372,Meat & Seafood|Bakery,WhatsApp,0.78,32,15
USR-00009,Pune,18.555,73.802,+917588302136,Bakery|Oil & Masala|Dairy|Snacks,reply-YES,0.62,29,6
USR-00010,Pune,18.362,73.74,+919876028749,Meat & Seafood,reply-YES,0.58,53,18
USR-00011,Pune,18.551,73.967,+916050391678,Fruits & Veggies,reply-YES,0.77,25,30
USR-00012,Pune,18.375,73.77,+917985930822,Ready-to-Eat|Bakery|Fruits & Veggies|Food Grains,SMS,0.79,47,22
USR-00013,Chennai,13.09,80.199,+919982320724,Bakery|Ready-to-Eat|Fruits & Veggies|Food Grains,reply-YES,0.9,60,12
USR-00014,Chennai,13.147,80.177,+916678019467,Bakery,SMS,0.64,19,37
USR-00015,Mumbai,18.973,72.942,+918471208362,Ready-to-Eat|Meat & Seafood|Fruits & Veggies,WhatsApp,0.75,21,15
USR-00016,Bengaluru,13.117,77.545,+919173277606,Snacks|Bakery,WhatsApp,0.85,45,38
USR-00017,Pune,18.494,73.897,+916657416984,Oil & Masala|Ready-to-Eat,SMS,0.97,53,17
USR-00018,Bengaluru,12.876,77.68,+918618453577,Meat & Seafood|Snacks|Beverages|Bakery,WhatsApp,0.84,31,34
USR-00019,Chennai,12.97,80.221,+919188374489,Food Grains|Oil & Masala,SMS,0.52,27,19
USR-00020,Bengaluru,13.035,77.687,+916256702178,Snacks|Bakery,SMS,0.96,56,2
USR-00021,Chennai,13.165,80.441,+919632940380,Food Grains|Meat & Seafood|Fruits & Veggies,SMS,0.55,37,41
USR-00022,Pune,18.652,73.967,+916865510861,Dairy|Meat & Seafood|Oil & Masala|Snacks,SMS,0.87,49,15
USR-00023,Pune,18.542,73.709,+916329402759,Fruits & Veggies|Snacks|Dairy,WhatsApp,0.53,33,30
USR-00024,Bengaluru,13.085,77.524,+918574863281,Meat & Seafood,SMS,0.83,60,23
USR-00025,Bengaluru,12.986,77.624,+916557384109,Dairy|Ready-to-Eat|Snacks|Food Grains,SMS,0.96,36,45
USR-00026,Mumbai,19.206,72.965,+918317660244,Oil & Masala|Meat & Seafood|Snacks,reply-YES,0.79,15,20
USR-00027,Chennai,13.103,80.43,+917697575546,Oil & Masala,WhatsApp,0.78,59,13
USR-00028,Bengaluru,13.125,77.571,+916533882499,Oil & Masala|Ready-to-Eat|Snacks|Dairy,reply-YES,0.77,53,9
USR-00029,Pune,18.441,73.841,+919588041403,Food Grains|Beverages|Meat & Seafood|Ready-to-Eat,SMS,0.63,18,26
USR-00030,Mumbai,19.171,72.912,+917790229309,Beverages|Food Grains|Dairy,SMS,0.84,60,14
USR-00031,Bengaluru,12.851,77.533,+918579990072,Oil & Masala|Ready-to-Eat|Meat & Seafood,reply-YES,0.93,41,10
USR-00032,Chennai,13.215,80.446,+916636578371,Bakery|Dairy|Fruits & Veggies,WhatsApp,0.55,41,31
USR-00033,Bengaluru,12.91,77.76,+919795932249,Meat & Seafood|Food Grains|Ready-to-Eat|Dairy,WhatsApp,0.79,30,23
USR-00034,Bengaluru,13.057,77.707,+916209454028,Beverages|Food Grains|Ready-to-Eat,reply-YES,0.96,18,26
USR-00035,Pune,18.605,73.767,+919694136674,Ready-to-Eat|Oil & Masala|Beverages|Dairy,WhatsApp,0.76,43,29
USR-00036,Chennai,13.138,80.208,+916418359094,Beverages,WhatsApp,0.89,39,19
USR-00037,Chennai,13.083,80.273,+919072544527,Bakery|Dairy|Beverages|Fruits & Veggies,reply-YES,0.63,20,37
USR-00038,Bengaluru,13.123,77.512,+918075193914,Dairy|Food Grains|Meat & Seafood|Beverages,reply-YES,0.58,11,16
USR-00039,Bengaluru,13.07,77.544,+919899108587,Meat & Seafood|Dairy|Snacks|Food Grains,SMS,0.68,22,38
USR-00040,Pune,18.375,73.892,+917925679746,Bakery|Meat & Seafood,SMS,0.89,43,27
USR-00041,Chennai,13.251,80.433,+919678616338,Food Grains|Bakery|Meat & Seafood|Dairy,SMS,0.97,57,28
USR-00042,Chennai,13.229,80.275,+918986409466,Beverages|Meat & Seafood|Food Grains,WhatsApp,0.52,24,27
USR-00043,Bengaluru,12.876,77.697,+918349541217,Fruits & Veggies|Dairy|Beverages|Snacks,SMS,0.52,54,13
USR-00044,Pune,18.366,74.007,+917482800920,Food Grains|Oil & Masala|Fruits & Veggies,reply-YES,0.51,32,27
USR-00045,Pune,18.468,73.933,+919969001923,Bakery|Snacks,WhatsApp,0.57,10,19
USR-00046,Mumbai,19.056,72.91,+918758427686,Fruits & Veggies,reply-YES,0.74,46,14
USR-00047,Chennai,13.052,80.262,+917356942018,Beverages|Snacks|Food Grains,WhatsApp,0.7,15,28
USR-00048,Pune,18.464,73.929,+917950641031,Bakery|Meat & Seafood|Ready-to-Eat,reply-YES,0.83,36,25
USR-00049,Chennai,13.014,80.298,+917465546120,Ready-to-Eat|Beverages,WhatsApp,0.87,39,45
USR-00050,Chennai,13.043,80.191,+919440198928,Beverages,WhatsApp,0.84,23,23
USR-00051,Pune,18.575,73.957,+918256286078,Food Grains,reply-YES,0.89,28,31
USR-00052,Bengaluru,12.888,77.55,+916340749185,Snacks,reply-YES,0.85,18,44
USR-00053,Bengaluru,13.08,77.703,+916554651206,Oil & Masala,reply-YES,0.55,60,24
USR-00054,Pune,18.571,73.864,+919372530315,Oil & Masala|Beverages|Bakery,reply-YES,0.98,60,18
USR-00055,Bengaluru,12.861,77.616,+917805400923,Snacks,SMS,0.97,40,37
USR-00056,Bengaluru,12.984,77.563,+917053900343,Fruits & Veggies|Oil & Masala,WhatsApp,0.57,53,25
